     1	 81 84 87 80 51 46 46 54
     2	 49 45 54 46 51 54 58 60
     3	 89 81 46 52 46 43 41 48
     4	 87 84 46 46 52 46 46 43
     5	 87 84 46 52 46 52 46 43
     6	 87 84 46 52 41 46 52 46
     7	 87 84 46 43 41 48 46 52
     8	 87 84 46 52 46 43 41 46
     9	 87 84 46 52 46 43 46 43
    10	 87 84 46 52 46 41 48 43
    11	 87 46 52 46 43 49 51 54
    12	 87 84 46 52 46 43 41 48
    13	 87 84 46 46 46 43 41 48
    14	 87 84 46 52 46 52 46 43
    15	 87 84 46 52 46 46 52 46
    16	 87 84 46 52 46 43 46 52
    17	 87 84 46 43 41 48 43 46
    18	 87 84 46 52 46 43 41 41
    19	 87 84 46 52 46 43 46 43
    20	 87 46 52 46 43 49 51 54
    21	 87 84 46 52 46 41 48 43
    22	 87 84 46 46 52 46 43 41
    23	 87 84 46 52 46 52 46 43
    24	 87 84 46 41 48 46 46 43
    25	 87 84 46 52 46 43 46 52
    26	 87 84 46 52 43 49 51 46
    27	 87 84 46 43 41 48 43 49
    28	 87 84 46 52 46 43 41 48
    29	 87 46 52 46 43 49 46 41
    30	 87 84 46 52 46 43 41 48
    31	 87 84 46 46 52 46 43 51
    32	 87 84 46 43 46 52 46 43
    33	 87 84 46 52 46 46 52 46
    34	 87 84 46 52 46 43 46 52
    35	 87 84 46 41 43 49 51 46
    36	 87 84 46 52 46 43 41 48
    37	 87 84 46 43 41 48 55 59
    38	 87 46 52 46 46 43 41 48
    39	 87 84 46 52 41 48 46 43
    40	 87 84 46 46 52 46 43 41
    41	 87 84 46 52 46 52 46 43
    42	 87 84 46 43 41 46 52 46
    43	 87 84 46 52 46 41 46 52
    44	 87 84 46 52 43 49 46 46
    45	 87 84 46 52 46 43 41 48
    46	 87 84 46 41 48 43 49 51
    47	 87 46 46 43 43 49 41 48
    48	 87 84 46 52 46 43 41 48
    49	 87 84 46 46 52 46 46 43
    50	 87 84 46 52 46 52 46 43
    51	 87 84 46 52 46 46 52 41
    52	 87 84 46 43 41 48 46 52
    53	 87 84 46 52 46 43 41 46
    54	 87 84 46 52 46 41 46 43
    55	 87 84 46 52 46 43 41 48
    56	 87 46 52 46 43 49 51 54
    57	 87 84 46 52 46 43 41 51
    58	 87 84 46 46 46 43 41 48
    59	 87 84 46 52 46 52 46 43
    60	 87 84 46 52 46 46 52 46
    61	 87 84 46 52 41 48 46 52
    62	 87 84 46 43 43 49 51 46
    63	 87 84 46 52 46 43 41 48
    64	 87 84 46 52 46 43 46 43
    65	 87 46 52 46 43 41 48 43
    66	 87 84 46 52 46 43 41 48
    67	 87 84 46 46 52 46 43 41
    68	 87 84 46 41 46 52 46 43
    69	 87 84 46 52 46 46 46 43
    70	 87 84 46 52 46 43 46 52
    71	 87 84 46 52 43 49 51 46
    72	 87 84 46 43 41 48 43 49
    73	 87 84 46 52 46 43 41 41
    74	 87 46 52 46 43 49 46 43
    75	 87 84 46 52 46 43 51 54
    76	 87 84 46 46 52 41 48 43
    77	 87 84 46 43 46 52 46 43
    78	 87 84 46 52 46 46 52 46
    79	 87 84 46 41 48 43 46 52
    80	 87 84 46 52 43 51 41 46
    81	 87 84 46 52 46 43 41 48
    82	 87 84 46 43 41 48 43 49
    83	 87 46 52 46 46 43 41 51
    84	 87 84 46 52 46 43 46 41
    85	 87 84 46 46 52 46 43 41
    86	 87 84 46 52 46 52 46 43
    87	 87 84 46 43 41 46 52 46
    88	 87 84 46 52 46 43 46 52
    89	 87 84 46 52 43 49 46 46
    90	 87 84 46 41 48 43 49 51
    91	 87 84 46 52 46 43 41 48
    92	 87 46 46 43 43 49 51 78
    93	 87 84 46 52 46 43 41 48
    94	 87 84 46 46 52 46 46 43
    95	 87 84 46 52 46 52 46 41
    96	 87 84 46 52 46 46 52 46
    97	 87 84 46 43 41 48 46 52
    98	 87 84 46 52 46 41 48 46
    99	 87 84 46 52 46 43 46 43
   100	 87 84 46 52 46 43 55 59
   101	 87 46 52 41 43 49 51 54
   102	 87 84 46 52 46 43 41 48
   103	 87 84 46 46 46 43 41 48
   104	 87 84 46 52 46 52 46 43
   105	 87 84 46 52 41 46 52 46
   106	 87 84 46 52 46 51 46 52
   107	 87 84 46 43 43 49 55 46
   108	 87 84 46 52 46 43 41 48
   109	 87 84 46 52 46 41 46 43
   110	 87 46 52 46 43 49 51 54
   111	 87 84 46 52 46 43 41 48
   112	 87 84 46 46 52 46 43 41
   113	 87 84 46 52 46 52 41 48
   114	 87 84 46 52 46 46 46 43
   115	 87 84 46 52 46 43 46 52
   116	 87 84 46 52 41 48 43 46
   117	 87 84 46 43 41 48 43 41
   118	 87 84 46 52 46 43 41 48
   119	 87 46 52 46 43 51 46 43
   120	 87 84 46 52 46 41 48 43
   121	 87 84 46 46 52 46 43 41
   122	 87 84 46 43 46 52 46 43
   123	 87 84 46 41 46 46 52 46
   124	 87 84 46 52 46 43 46 52
   125	 87 84 46 52 43 49 51 46
   126	 87 84 46 52 46 43 41 48
   127	 87 84 46 43 41 48 51 54
   128	 87 46 52 46 46 43 41 41
